Color,Condition,Cylinders,Drive,Fuel,Make,Model,Odometer,Price,Title,Transmission_Automatic,Year
Red,Good,8,Rwd,Gas,Chevrolet,Corvette,78000,21000,Clean,0,2004
Silver,Excellent,4,4Wd,Gas,Audi,A4,107000,6500,Clean,1,2006
Red,Good,8,4Wd,Gas,Ford,Expedition,205950,3000,Clean,1,2009
Black,Excellent,4,Fwd,Gas,Ford,Focus,180000,3800,Clean,0,2010
White,Good,6,Fwd,Gas,Toyota,Sienna,178000,4800,Clean,1,2006
White,Excellent,6,Rwd,Gas,Ford,Explorer,161000,4950,Clean,1,2005
Silver,Excellent,8,Rwd,Gas,Ford,F150,141987,7600,Salvage,1,2008
Red,New,6,Fwd,Gas,Chevrolet,Corvette,11200,42850,Lien,0,2011
White,Good,4,Fwd,Gas,Ford,Explorer,172000,2200,Clean,1,1999
Grey,Excellent,6,Rwd,Gas,Infiniti,G35,183000,5000,Clean,1,2005
Grey,Excellent,8,4Wd,Diesel,Chevrolet,Silverado,109000,25900,Clean,1,2007
White,Good,4,Fwd,Gas,Volkswagen,Gti,79500,17000,Clean,1,2015
Black,Good,6,Rwd,Gas,Porsche,Boxster,136670,9500,Clean,1,2001
Silver,Good,6,4Wd,Gas,Honda,Civic,200000,2500,Clean,1,2002
Grey,Excellent,6,4Wd,Gas,Audi,A6,146000,5900,Clean,1,2005
Red,Good,4,Fwd,Gas,Ford,Focus,152000,3995,Clean,0,2008
Grey,Good,8,Rwd,Gas,Audi,S4,77700,12700,Salvage,1,2011
Black,Excellent,6,4Wd,Gas,Mercedes,Ml350,154000,6900,Clean,1,2009
Black,Excellent,6,Rwd,Gas,Lincoln,Town,146000,6599,Clean,1,2002
White,Excellent,6,Fwd,Gas,Nissan,Rogue,103000,6950,Clean,1,2013
White,Excellent,4,Rwd,Gas,Bmw,328I,132000,7950,Clean,1,2008
Blue,Good,8,Rwd,Gas,Chevrolet,Silverado,224000,4500,Clean,1,2004
White,Excellent,6,2-Wheel Drive,Gas,Acura,Mdx,55555,25500,Clean,1,2016
Grey,Excellent,6,Fwd,Gas,Nissan,Altima,120000,5950,Clean,1,2010
White,Excellent,4,Rwd,Gas,Mercedes,C300,38000,29500,Clean,1,2019
Grey,Excellent,6,Rwd,Hybrid,Toyota,Prius,52221,10500,Salvage,1,2013
White,Good,4,4Wd,Gas,Ford,E250,308011,3999,Salvage,1,1998
Black,Excellent,8,Rwd,Gas,Gmc,Yukon,155000,13500,Clean,1,2014
Blue,New,4,4Wd,Hybrid,Toyota,Prius,139000,7800,Clean,1,2006
Silver,Excellent,4,Fwd,Hybrid,Toyota,Camry,143000,6900,Clean,1,2007
Black,Good,6,4Wd,Diesel,Jeep,Grand,55875,26750,Clean,1,2015
White,Good,8,Rwd,Gas,Ford,E350,117492,7200,Clean,1,2008
Red,Good,4,Fwd,Gas,Toyota,Corolla,156496,3000,Clean,1,2006
Red,Good,4,Rwd,Gas,Chrysler,Pt,96000,5700,Clean,1,2002
Blue,Excellent,4,Fwd,Gas,Audi,A4,97000,6500,Clean,1,2004
Grey,Good,4,Fwd,Gas,Toyota,Matrix,139000,6900,Clean,1,2008
White,Excellent,6,4Wd,Gas,Ford,F150,114900,5800,Clean,1,2011
White,Good,8,Rwd,Gas,Chevrolet,Silverado,1,3557,Salvage,1,2004
Grey,Excellent,0,Rwd,Electric,Tesla,Model 3,74000,45000,Clean,1,2018
Red,Good,6,4Wd,Gas,Nissan,Frontier,189000,20000,Clean,1,2013
White,Good,4,Fwd,Gas,Chevrolet,Hhr,95000,2757,Salvage,1,2011
White,Good,8,Rwd,Gas,Ford,Thunderbird,126000,3757,Salvage,1,2002
Blue,Good,6,Rwd,Gas,Bmw,535I,142458,12650,Clean,1,2015
White,Excellent,8,4Wd,Gas,Ford,F350,120000,6500,Clean,1,1992
White,Good,6,Fwd,Gas,Lexus,Rx,240000,3000,Clean,1,2003
White,Excellent,6,Fwd,Gas,Bmw,X5,95000,12700,Clean,1,2012
White,Excellent,6,4Wd,Gas,Toyota,4Runner,220000,13500,Clean,0,1989
White,Good,6,Rwd,Gas,Mercedes,E320,202000,2900,Clean,1,2002
Silver,Like New,6,4Wd,Gas,Acura,Mdx,94518,13200,Clean,1,2012
White,Good,4,Fwd,Gas,Toyota,Yaris,128000,7300,Clean,1,2015
Silver,Good,4,Fwd,Gas,Honda,Element,185000,4200,Clean,1,2005
Silver,Good,4,Fwd,Gas,Honda,Element,185000,4200,Clean,1,2005
White,Good,4,Fwd,Gas,Honda,Accord,113000,10200,Salvage,1,2014
Blue,Good,6,Fwd,Gas,Honda,Odyssey,180000,3900,Clean,1,2005
White,Like New,4,Fwd,Hybrid,Chevrolet,Volt,92000,11450,Clean,1,2014
Black,Like New,4,4Wd,Gas,Subaru,Forester,118000,4800,Clean,1,2003
Black,Excellent,8,4Wd,Gas,Land Rover,Range,167000,6999,Clean,1,2009
Blue,Good,4,Fwd,Gas,Ford,Focus,130000,12000,Clean,0,2002
Blue,Like New,6,4Wd,Gas,Ford,Edge,64495,27999,Clean,1,2019
Black,Good,8,4Wd,Gas,Land Rover,Range,149885,17559,Clean,1,2013
White,Like New,4,Rwd,Gas,Ford,Transit,47000,16500,Clean,1,2017
Black,Excellent,6,Fwd,Gas,Ford,Flex,176000,7000,Salvage,1,2013
Black,Excellent,4,Rwd,Gas,Hyundai,Sonata,56900,15500,Clean,1,2016
Black,Excellent,8,Rwd,Gas,Dodge,Challenger,70000,20000,Salvage,1,2017
Black,Excellent,6,Rwd,Gas,Bmw,M3,154500,19999,Clean,0,2004
White,Like New,4,Fwd,Gas,Ford,Fiesta,73000,8700,Clean,1,2017
Custom,Excellent,8,Rwd,Gas,Lexus,Ls,105600,11500,Clean,1,1999
Silver,Good,4,Fwd,Gas,Nissan,Sentra,122300,5000,Clean,1,2012
White,Excellent,8,Rwd,Gas,Toyota,Tundra,68586,17500,Clean,1,2007
Black,Excellent,8,Rwd,Gas,Ford,F150,175000,8500,Clean,1,2006
Silver,Fair,6,Rwd,Gas,Bmw,328I,151000,2500,Clean,1,2009
Grey,Excellent,6,Rwd,Gas,Toyota,Tundra,70519,19950,Clean,1,2013
Grey,Excellent,4,Rwd,Gas,Honda,Accord,173409,5800,Clean,1,2008
Black,Good,4,Rwd,Gas,Hyundai,Veloster,97000,4000,Clean,1,2013
Grey,Good,8,4Wd,Gas,Toyota,Land,195000,22000,Clean,1,2004
White,Like New,0,4Wd,Electric,Bmw,X5,34700,47500,Clean,1,2018
White,Excellent,4,Fwd,Gas,Toyota,Corolla,54300,10250,Clean,1,2009
Grey,Excellent,8,Rwd,Gas,Dodge,Ram,20000,9500,Clean,1,1997
Black,Excellent,8,Rwd,Gas,Mercedes,Sl500,95000,10800,Salvage,1,2004
White,Excellent,6,Rwd,Gas,Toyota,Tundra,72000,18900,Clean,1,2012
Black,Excellent,6,Rwd,Gas,Bmw,535I,220000,5500,Clean,1,2010
Silver,Excellent,6,Fwd,Gas,Hyundai,Santa,137000,4000,Clean,1,2002
Grey,Excellent,4,4Wd,Gas,Toyota,Matrix,155389,4300,Clean,1,2003
Black,Good,4,Fwd,Gas,Toyota,Corolla,299000,2950,Clean,1,2003
Blue,Excellent,4,Fwd,Hybrid,Hyundai,Sonata,121000,8900,Clean,1,2012
Black,Excellent,4,Rwd,Gas,Honda,Civic,136793,4900,Clean,1,2008
Green,Excellent,4,Fwd,Hybrid,Toyota,Prius,190000,5900,Clean,1,2007
White,Excellent,4,Fwd,Gas,Toyota,Corolla,70000,16300,Clean,1,2018
Grey,Like New,6,Fwd,Gas,Lexus,Rx350,22450,29495,Salvage,1,2018
White,Like New,6,Fwd,Gas,Chevrolet,Silverado,40000,21900,Salvage,1,2014
Black,Excellent,6,Rwd,Diesel,Mercedes,E350,153000,8950,Clean,1,2012
White,Like New,8,Rwd,Gas,Toyota,Tundra,71204,17600,Clean,1,2014
Blue,Excellent,8,4Wd,Diesel,Ford,F250,188500,29500,Clean,1,2001
